Temperature, Total Score, Stadium, Run Scored per Degree
43.1,9,Wrigley Field,0.2088167053364269
39.6,9,Wrigley Field,0.22727272727272727
50.3,9,Wrigley Field,0.17892644135188868
58.7,5,Guaranteed Rate Field,0.08517887563884156
64.1,10,Guaranteed Rate Field,0.15600624024961
45.1,6,Guaranteed Rate Field,0.13303769401330376
47.2,5,Guaranteed Rate Field,0.1059322033898305
41.0,5,Guaranteed Rate Field,0.12195121951219512
38.4,12,Guaranteed Rate Field,0.3125
37.8,6,Wrigley Field,0.15873015873015875
42.6,11,Wrigley Field,0.25821596244131456
48.2,10,Wrigley Field,0.20746887966804978
58.7,7,Wrigley Field,0.11925042589437819
52.4,6,Wrigley Field,0.11450381679389313
70.5,21,Wrigley Field,0.2978723404255319
69.6,7,Wrigley Field,0.10057471264367816
43.7,6,Guaranteed Rate Field,0.13729977116704806
38.7,10,Guaranteed Rate Field,0.25839793281653745
46.4,7,Guaranteed Rate Field,0.15086206896551724
57.4,6,Guaranteed Rate Field,0.10452961672473868
60.7,4,Guaranteed Rate Field,0.06589785831960461
53.7,11,Guaranteed Rate Field,0.20484171322160147
51.6,3,Guaranteed Rate Field,0.05813953488372093
47.9,4,Wrigley Field,0.08350730688935282
48.2,7,Wrigley Field,0.14522821576763484
55.9,7,Wrigley Field,0.12522361359570663
55.9,8,Wrigley Field,0.14311270125223613
58.3,8,Wrigley Field,0.137221269296741
70.8,21,Guaranteed Rate Field,0.2966101694915254
80.3,5,Guaranteed Rate Field,0.062266500622665005
84.4,22,Guaranteed Rate Field,0.2606635071090047
81.8,14,Guaranteed Rate Field,0.17114914425427874
76.7,5,Guaranteed Rate Field,0.0651890482398957
70.0,6,Guaranteed Rate Field,0.08571428571428572
68.4,9,Wrigley Field,0.13157894736842105
59.7,7,Wrigley Field,0.11725293132328307
58.3,5,Wrigley Field,0.08576329331046313
71.6,4,Wrigley Field,0.0558659217877095
74.7,16,Wrigley Field,0.214190093708166
60.2,13,Wrigley Field,0.2159468438538206
58.3,9,Wrigley Field,0.15437392795883362
58.5,19,Guaranteed Rate Field,0.3247863247863248
67.8,4,Guaranteed Rate Field,0.058997050147492625
72.8,23,Guaranteed Rate Field,0.3159340659340659
65.0,6,Guaranteed Rate Field,0.09230769230769231
75.2,9,Guaranteed Rate Field,0.11968085106382978
81.4,13,Wrigley Field,0.1597051597051597
81.4,4,Wrigley Field,0.04914004914004914
82.1,15,Wrigley Field,0.18270401948842876
69.7,7,Wrigley Field,0.10043041606886657
69.0,12,Wrigley Field,0.17391304347826086
72.1,19,Wrigley Field,0.2635228848821082
64.6,7,Wrigley Field,0.108359133126935
64.6,11,Wrigley Field,0.17027863777089786
69.1,8,Wrigley Field,0.11577424023154849
62.3,4,Guaranteed Rate Field,0.06420545746388444
62.5,5,Guaranteed Rate Field,0.08
66.7,20,Guaranteed Rate Field,0.29985007496251875
67.7,11,Guaranteed Rate Field,0.1624815361890694
68.2,20,Guaranteed Rate Field,0.29325513196480935
65.9,14,Guaranteed Rate Field,0.212443095599393
75.2,5,Wrigley Field,0.06648936170212766
87.9,17,Wrigley Field,0.19340159271899884
90.4,24,Wrigley Field,0.2654867256637168
85.8,10,Wrigley Field,0.11655011655011656
78.9,1,Wrigley Field,0.012674271229404309
67.2,9,Wrigley Field,0.13392857142857142
72.4,6,Wrigley Field,0.08287292817679558
81.9,15,Guaranteed Rate Field,0.18315018315018314
88.0,13,Guaranteed Rate Field,0.14772727272727273
84.3,14,Guaranteed Rate Field,0.166073546856465
77.1,4,Guaranteed Rate Field,0.05188067444876784
80.8,5,Guaranteed Rate Field,0.06188118811881188
